Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,World,WLD,8.239700375,3.555413197,2.928564327,3.362391553,4.839403499,3.731209508,2.613433527,2.294061072,1.437024514,1.471710456,2.19201011,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 01/30/2019,,,,,,,,,,,,,,,
